Lubosch, Wilhelm
Luden, Johann Heinrich Gottlieb
Ludwig, August
Ludwig, Friedrich Hermann
Lyncker, Nikolaus Christoph von
Macan, Reginald
Major, Johann
Mann, Thomas
Manso, Johann Caspar Friedrich
Marezoll, Johann Gottlob
Marshall, William
Martin, Christoph Reinhard Dietrich
Martin, Eduard Arnold
Marx, Karl
Matthes, Hermann
Maurer, Friedrich
Melanchthon, Philipp
Mellinger, Johann
Mereau, Friedrich Karl Ernst
Meyer, Christian Wilhelm Georg
Meyer, Johann Heinrich
Meyer-Steineg, Theodor
Meyfart, Johann Matthäus
Michael, Johann (gen. Michel Buchführer)
Michels, Viktor Karl Theodor
Michelsen, Andreas Ludwig Jacob
Möser, Justus
Monner, Basilius
Mosen, Julius
Mosengeil, Friedrich
Müller, Karl Konrad
Müller, Nicolaus Otto
Müller, Wilhelm
Münchow, Karl Dietrich von
Musäus, Johann Karl August
Musäus (Meusel), Simon
Muther, Theodor
Mylius, Johann Christoph
Napoleon I. (Napoleon Bonaparte)
Naumann, Ernst Carl Friedrich
Nees von Esenbeck, Christian Gottfried
Neubauer, Johann Ernst
Neubauer, Theodor
Niedner, Johannes
Niethammer, Friedrich Immanuel
Nipperdey, Carl Ludwig
Nippold, Friedrich
Nonne, Hermann Rudolph
Nothnagel, Hermann
Novalis (eigtl. Friedrich Ludwig von Hardenberg)
Oehme, Christian Gotthilf Immanuel
Oemler, Johann Christian Wilhelm
Oken (eigtl. Okenfuß), Lorenz
Ostermann, Heinrich Johann Friedrich
Oxenstierna, Axel
Paquet, Alfons
Paulus, Heinrich Eberhard Gottlob
Pfaff, Christian Heinrich
Pfeiffer, Ernst
Piersdorf, Julius
Poser, Magnus
Posselt, Johannes Friedrich
Preyer, William Thierry
Pringsheim, Nathanael
Pufendorf, Samuel von
Ratzel, Friedrich
Regel, Fritz
Reger, Max
Reichwein, Adolf
Reimarus, Hermann Samuel
Rein, Wilhelm
Reinhold, Carl Leonhard
Reinhold, Christian Ernst Gottlieb
Reinthaler, Johann Friedrich
Reisig, Carl
Renner, Theobald
Reuter, Fritz
Reventlow, Friedrich Graf von
Ried, Franz Jordan von
Riedel, Bernhard
Ritter, Johann Wilhelm
Rörer, Georg
Rössle, Robert
Rolfinck, Werner
Rosenthal, Eduard
Roßbach, Michael Joseph
Rothe, Karl
Rudolphi, Carl Asmund
Rückert, Friedrich
Rückert, Heinrich
Safarik, Paul Josef
Sagittarius, Caspar
Salzmann, Christian Gotthilf
Sand, Karl Ludwig
Savigny, Friedrich Karl von
Schäfer, Dietrich
Schaeffer, Hermann
Schaxel, Julius
Scheidler, Karl Hermann
Schelling, Friedrich Wilhelm Joseph von
Schelver, Franz Joseph
Schenck, Johann Theodor (gen. von Burgstadt)
Scherer, Alexander Nicolaus von
Schiller, Friedrich (von)
Schlegel, August Wilhelm
Schlegel, Friedrich Wilhelm Karl
Schlegel (auch Siegel), Paul Marquard
Schlegel-Schelling, Caroline (geb. Michaelis,
Schleicher, August
Schleiden, Matthias Jakob
Schlenther, Paul
Schmid, Karl Christian Erhard
Schmid, Ernst Erhard
Schmid, Karl Ernst
Schmidt, Erich
Schmidt, Ernst Gottfried
Schmidt, Johann Ludwig
Schmidt, Moritz Wilhelm Konstantin
Schmidt, Oskar Eduard
Schmidt, Wilhelm Adolf
Schnaubert, Andreas Joseph
Schnepff, Erhard
Schömann, Franz Joseph Constantin
Schott, Friedrich Otto
Schott, Heinrich August
Schottin, Carl Friedrich Reinhold
Schrader, Otto
Schrödinger, Erwin
Schrön, Heinrich Ludwig Friedrich
Schröter, Johannes (von)
Schubart, Christian Friedrich Daniel
Schubert, Gotthilf Heinrich (von)
Schütz, Christian Gottfried
Schultze, Alfred
Schultze (-Jena), Bernhard Sigismund
Schulz-Gora, Oskar
Schulze (-Gävernitz), Friedrich Gottlob
Schumann, Robert
Schwalbe, Gustav Albert
Schwarz, Otto
Schweitzer, Christian Wilhelm
Seebeck, Karl Julius Moritz
Seebeck, Thomas Johann
Segner, Johann Andreas von
Seidel, Moritz
Selnecker, Nikolaus
Seyerlein, Karl Rudolf
Siebert, August Friedrich
Siebold, Adam Elias von
Siebold, Johann Bartholomäus von
Siedentopf, Henry
Siegfried, Carl Adolf
Sievers, Eduard
Smidt, Johann
Snell, Christian Philipp Carl
Solf, Wilhelm Heinrich
Spalatin (eigtl. Burckhardt), Georg
Spieß, Edmund
Stade, Friedrich Wilhelm
Stahl, Georg Ernst
Stamitz, Carl
Stark, Johann Christian d. &Auml;.
Stark, Johann Christian d.J.
Stark, Karl Bernhard
Stark, Karl Wilhelm
Steffens, Henrik
Steiger, Günter
Steinmann, Gustav
Steinmann, Tobias
Stickel, Johann Gustav
Stieler, Kaspar
Stifel, Michael
Stigel, Johann
Stintzing, Georg Hieronymus Roderich
Stolle, Gottlieb
Stoy, Karl Volkmar
Stoy, Stephan
Strasburger, Eduard
Straubel, Rudolf
Strigel, Viktorin
Struve, Burkhard Gotthelf
Struve, Georg Adam
Sturm, Karl Christoph Gottlieb
Suckow, Johann Lorenz Daniel
Suckow, Wilhelm Carl Friedrich
Szeberenyi, Johann
Teichmeyer, Hermann Friedrich
Tennemann, Wilhelm Gottlieb
Thibaut, Anton Friedrich Justus
Thomae, Johannes Carl
